symbol	ensembl_gene_id	primary_region	analysis_group	include_primary	include_sensitivity	curation_confidence	pathway_depth_rank	pathway_depth_scaled	is_upstream_core	is_checkpoint_layer	is_downstream_diversification	is_substrate_support	checkpoint_proximity	ost_or_lbo_core_member	er_quality_control_member	catastrophic_potential_prior	branching_role	terminal_modification_role	interface_layer_prior	glycan_output_layer	regulatory_or_trans_layer_candidate	has_paralog_family	paralog_family_name	redundancy_prior	low_specificity_terminal_enzyme	graph_in_degree_primary_reaction	graph_out_degree_primary_reaction	graph_total_degree_primary_reaction	graph_betweenness_primary_reaction	graph_closeness_primary_reaction	graph_component_id_primary_reaction	architecture_version	architecture_notes
ALG9	ENSG00000086848	llo_assembly	upstream_core	yes	yes	high	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	yes	ALG	low	no	1	1	2	0.03878787878787879	0.018823529411764708	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
ALG12	ENSG00000182858	llo_assembly	upstream_core	yes	yes	high	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	yes	ALG	low	no	1	1	2	0.042727272727272725	0.018837209302325582	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
ALG6	ENSG00000088035	llo_assembly	upstream_core	yes	yes	high	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	yes	ALG	low	no	1	1	2	0.046464646464646465	0.01886792452830189	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
ALG8	ENSG00000159063	llo_assembly	upstream_core	yes	yes	high	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	yes	ALG	low	no	1	2	3	0.05	0.01890625	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
ALG10	ENSG00000139133	llo_assembly	upstream_core	yes	yes	high	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	yes	ALG	low	no	1	2	3	0.026060606060606062	0.01894736842105263	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
ALG10B	ENSG00000175548	llo_assembly	upstream_core	yes	yes	medium	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	yes	ALG	low	no	1	2	3	0.026060606060606062	0.01894736842105263	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check
ALG5	ENSG00000120697	llo_assembly	upstream_core	yes	yes	high	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	yes	ALG	low	no	0	0	0	0.0	0.0	primary_reaction_component_32	architecture_features_v0.1_2026-06-03	
STT3A	ENSG00000134910	ost_transfer	upstream_core	yes	yes	high	3	0.3333	yes	no	no	no	adjacent	yes	no	high	not_branching	no	low	no	no	no		low	no	11	1	12	0.04762626262626263	0.05343434343434344	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
STT3B	ENSG00000163527	ost_transfer	upstream_core	yes	yes	high	3	0.3333	yes	no	no	no	adjacent	yes	no	high	not_branching	no	low	no	no	no		low	no	11	1	12	0.04762626262626263	0.05343434343434344	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
DDOST	ENSG00000244038	ost_transfer	upstream_core	yes	yes	high	3	0.3333	yes	no	no	no	adjacent	yes	no	high	not_branching	no	low	no	no	no		low	no	0	2	2	0.0	0.0	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
