symbol	ensembl_gene_id	primary_region	analysis_group	include_primary	include_sensitivity	cdg_curated_status	cdg_subtype	mendelian_disease_status	mode_of_inheritance	severe_mendelian_burden	clinvar_plp_variant_count	clinvar_plp_condition_count	clinvar_evidence_status	gwas_association_count	gwas_trait_category_count	glycome_trait_flag	immune_inflammation_trait_flag	infection_trait_flag	cancer_trait_flag	tissue_identity_trait_flag	complex_trait_evidence_status	disease_architecture_class	evidence_confidence	disease_annotation_version	disease_annotation_source	disease_annotation_source_url	disease_annotation_access_date	disease_annotation_notes
PRKCSH	ENSG00000130175	er_quality_control	checkpoint_layer	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	43	4	plp_variants_present	6	2	no	yes	no	no	no	gwas_trait_evidence_present	checkpoint_or_quality_control_disease	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 43 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 6 association(s), 4 mapped trait(s), categories immune_inflammation;metabolism, accessed 2026-06-03.
UGGT1	ENSG00000136731	er_quality_control	checkpoint_layer	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	10	2	plp_variants_present	18	3	no	no	yes	yes	no	gwas_trait_evidence_present	checkpoint_or_quality_control_disease	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 10 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 18 association(s), 13 mapped trait(s), categories cancer;infection;metabolism, accessed 2026-06-03.
UGGT2	ENSG00000102595	er_quality_control	checkpoint_layer	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	33	4	no	yes	yes	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 33 association(s), 21 mapped trait(s), categories immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
CANX	ENSG00000283777	er_quality_control	checkpoint_layer	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	29	2	no	yes	no	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 29 association(s), 15 mapped trait(s), categories immune_inflammation;tissue_identity, accessed 2026-06-03.
CALR	ENSG00000179218	er_quality_control	checkpoint_layer	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	17	2	no	no	no	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 17 association(s), 14 mapped trait(s), categories metabolism;tissue_identity, accessed 2026-06-03.
PDIA3	ENSG00000167004	er_quality_control	checkpoint_layer	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	15	3	no	no	no	yes	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 15 association(s), 15 mapped trait(s), categories cancer;metabolism;tissue_identity, accessed 2026-06-03.
MAN1B1	ENSG00000177239	er_quality_control	checkpoint_layer	yes	yes	overlapping_or_multiple_pathway_cdg_gene	MAN1B1-CDG	curated_cdg_mendelian_evidence	AR	moderate	48	5	plp_variants_present	12	2	no	no	no	no	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	overlapping or multiple pathway cdg gene; subtype MAN1B1-CDG; mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 48 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 12 association(s), 9 mapped trait(s), categories metabolism;tissue_identity, accessed 2026-06-03.
EDEM1	ENSG00000134109	er_quality_control	checkpoint_layer	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	17	3	no	yes	no	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 17 association(s), 13 mapped trait(s), categories immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
EDEM2	ENSG00000088298	er_quality_control	checkpoint_layer	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	125	4	no	yes	no	yes	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 125 association(s), 71 mapped trait(s), categories cancer;immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
EDEM3	ENSG00000116406	er_quality_control	checkpoint_layer	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	16	2	plp_variants_present	115	5	yes	yes	no	yes	yes	gwas_trait_evidence_present	checkpoint_or_quality_control_disease	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 16 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 115 association(s), 64 mapped trait(s), categories cancer;glycome;immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
MLEC	ENSG00000110917	er_quality_control	checkpoint_layer	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	27	4	no	yes	yes	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 27 association(s), 18 mapped trait(s), categories immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
NGLY1	ENSG00000151092	er_quality_control	checkpoint_layer	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	129	11	plp_variants_present	0	0	no	no	no	no	no	no_gwas_trait_evidence_found	checkpoint_or_quality_control_disease	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 129 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 0 association(s), 0 mapped trait(s), categories none, accessed 2026-06-03.
ENGASE	ENSG00000167280	er_quality_control	checkpoint_layer	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	7	2	no	no	no	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 7 association(s), 4 mapped trait(s), categories metabolism;tissue_identity, accessed 2026-06-03.
OS9	ENSG00000135506	er_quality_control	checkpoint_layer	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	31	3	no	yes	no	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 31 association(s), 20 mapped trait(s), categories immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
SEL1L	ENSG00000071537	er_quality_control	checkpoint_layer	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	1	1	plp_variants_present	17	5	no	yes	yes	yes	yes	gwas_trait_evidence_present	checkpoint_or_quality_control_disease	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 1 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 17 association(s), 14 mapped trait(s), categories cancer;immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
MAN1A1	ENSG00000111885	golgi_core_processing	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	108	5	no	yes	yes	yes	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 108 association(s), 55 mapped trait(s), categories cancer;immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
MAN1A2	ENSG00000198162	golgi_core_processing	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	43	5	no	yes	yes	yes	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 43 association(s), 27 mapped trait(s), categories cancer;immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
MAN1C1	ENSG00000117643	golgi_core_processing	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	25	4	no	no	yes	yes	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 25 association(s), 19 mapped trait(s), categories cancer;infection;metabolism;tissue_identity, accessed 2026-06-03.
MGAT1	ENSG00000131446	golgi_core_processing	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	37	2	no	no	no	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 37 association(s), 22 mapped trait(s), categories metabolism;tissue_identity, accessed 2026-06-03.
MAN2A1	ENSG00000112893	golgi_core_processing	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	63	4	no	yes	yes	yes	no	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 63 association(s), 34 mapped trait(s), categories cancer;immune_inflammation;infection;metabolism, accessed 2026-06-03.
MAN2A2	ENSG00000196547	golgi_core_processing	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	2	1	plp_variants_present	13	2	no	no	no	no	yes	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 2 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 13 association(s), 13 mapped trait(s), categories metabolism;tissue_identity, accessed 2026-06-03.
MGAT2	ENSG00000168282	golgi_core_processing	downstream_diversification	yes	yes	known_cdg_gene	MGAT2-CDG (CDG-IIa)	curated_cdg_mendelian_evidence	AR	high	13	3	plp_variants_present	1	2	no	no	no	no	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype MGAT2-CDG (CDG-IIa); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 13 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 1 association(s), 1 mapped trait(s), categories metabolism;tissue_identity, accessed 2026-06-03.
MGAT3	ENSG00000128268	golgi_branching	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	159	5	yes	yes	no	yes	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 159 association(s), 64 mapped trait(s), categories cancer;glycome;immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
MGAT4A	ENSG00000071073	golgi_branching	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	17	4	no	yes	no	yes	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 17 association(s), 17 mapped trait(s), categories cancer;immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
MGAT4B	ENSG00000284501	golgi_branching	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	10	4	yes	yes	no	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 10 association(s), 8 mapped trait(s), categories glycome;immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
MGAT4C	ENSG00000182050	golgi_branching	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	59	5	yes	yes	no	yes	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 59 association(s), 45 mapped trait(s), categories cancer;glycome;immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
MGAT5	ENSG00000152127	golgi_branching	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	231	6	yes	yes	yes	yes	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 231 association(s), 139 mapped trait(s), categories cancer;glycome;immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
FUT8	ENSG00000033170	terminal_modification	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	7	4	plp_variants_present	213	6	yes	yes	yes	yes	yes	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 7 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 213 association(s), 70 mapped trait(s), categories cancer;glycome;immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
FUT3	ENSG00000171124	terminal_modification	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	176	5	yes	yes	no	yes	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 176 association(s), 76 mapped trait(s), categories cancer;glycome;immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
B4GALT1	ENSG00000086062	terminal_modification	downstream_diversification	yes	yes	known_cdg_gene	B4GALT1-CDG (CDG-IId)	curated_cdg_mendelian_evidence	AR	moderate	3	2	plp_variants_present	216	6	yes	yes	yes	yes	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype B4GALT1-CDG (CDG-IId); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 3 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 216 association(s), 100 mapped trait(s), categories cancer;glycome;immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
B4GALT2	ENSG00000117411	terminal_modification	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	7	2	no	no	no	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 7 association(s), 8 mapped trait(s), categories metabolism;tissue_identity, accessed 2026-06-03.
B4GALT3	ENSG00000158850	terminal_modification	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	1	1	plp_variants_present	2	2	no	yes	no	no	no	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 1 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 2 association(s), 2 mapped trait(s), categories immune_inflammation;metabolism, accessed 2026-06-03.
B4GALT4	ENSG00000121578	terminal_modification	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	19	4	no	yes	no	yes	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 19 association(s), 21 mapped trait(s), categories cancer;immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
B4GALT5	ENSG00000158470	terminal_modification	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	17	4	no	yes	yes	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 17 association(s), 13 mapped trait(s), categories immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
B4GALT6	ENSG00000118276	terminal_modification	downstream_diversification	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	21	3	no	yes	no	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 21 association(s), 19 mapped trait(s), categories immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
