symbol	ensembl_gene_id_repo	constraint_ensembl_gene_id	constraint_symbol	constraint_metric_available	join_status	join_notes
DPAGT1	ENSG00000172269	ENSG00000172269	DPAGT1	yes	matched_ensembl_symbol	
ALG13	ENSG00000101901			no	missing_constraint	No constraint metrics matched by Ensembl gene ID.
ALG14	ENSG00000172339	ENSG00000172339	ALG14	yes	matched_ensembl_symbol	
ALG1	ENSG00000033011	ENSG00000033011	ALG1	yes	matched_ensembl_symbol	
ALG2	ENSG00000119523	ENSG00000119523	ALG2	yes	matched_ensembl_symbol	
ALG11	ENSG00000253710	ENSG00000253710	ALG11	yes	matched_ensembl_symbol	
RFT1	ENSG00000163933	ENSG00000163933	RFT1	yes	matched_ensembl_symbol	
ALG3	ENSG00000214160	ENSG00000214160	ALG3	yes	matched_ensembl_symbol	
ALG9	ENSG00000086848	ENSG00000086848	ALG9	yes	matched_ensembl_symbol	
ALG12	ENSG00000182858	ENSG00000182858	ALG12	yes	matched_ensembl_symbol	
ALG6	ENSG00000088035	ENSG00000088035	ALG6	yes	matched_ensembl_symbol	
ALG8	ENSG00000159063	ENSG00000159063	ALG8	yes	matched_ensembl_symbol	
ALG10	ENSG00000139133	ENSG00000139133	ALG10	yes	matched_ensembl_symbol	
ALG10B	ENSG00000175548	ENSG00000175548	ALG10B	yes	matched_ensembl_symbol	
ALG5	ENSG00000120697	ENSG00000120697	ALG5	yes	matched_ensembl_symbol	
STT3A	ENSG00000134910	ENSG00000134910	STT3A	yes	matched_ensembl_symbol	
STT3B	ENSG00000163527	ENSG00000163527	STT3B	yes	matched_ensembl_symbol	
DDOST	ENSG00000244038	ENSG00000244038	DDOST	yes	matched_ensembl_symbol	
DAD1	ENSG00000129562	ENSG00000129562	DAD1	yes	matched_ensembl_symbol	
RPN1	ENSG00000163902	ENSG00000163902	RPN1	yes	matched_ensembl_symbol	
RPN2	ENSG00000291973			no	missing_constraint	No constraint metrics matched by Ensembl gene ID.
OST4	ENSG00000228474	ENSG00000228474	OST4	yes	matched_ensembl_symbol	
OSTC	ENSG00000198856	ENSG00000198856	OSTC	yes	matched_ensembl_symbol	
TMEM258	ENSG00000134825	ENSG00000134825	TMEM258	yes	matched_ensembl_symbol	
MAGT1	ENSG00000102158			no	missing_constraint	No constraint metrics matched by Ensembl gene ID.
TUSC3	ENSG00000104723	ENSG00000104723	TUSC3	yes	matched_ensembl_symbol	
MOGS	ENSG00000115275	ENSG00000115275	MOGS	yes	matched_ensembl_symbol	
GANAB	ENSG00000089597	ENSG00000089597	GANAB	yes	matched_ensembl_symbol	
PRKCSH	ENSG00000130175	ENSG00000130175	PRKCSH	yes	matched_ensembl_symbol	
UGGT1	ENSG00000136731	ENSG00000136731	UGGT1	yes	matched_ensembl_symbol	
UGGT2	ENSG00000102595	ENSG00000102595	UGGT2	yes	matched_ensembl_symbol	
