symbol	match_basis	direct_glycome_match	interface_match	reported_gene_match	mapped_gene_match	study_accession	pubmed_id	first_author	publication_date	disease_trait	mapped_trait	trait_categories	reported_genes	mapped_genes	p_value
ST6GAL1	mapped_gene	yes	no	no	yes	GCST90668485	40593539	Sharapov S	2025-07-01	Percentage of monosialylation of core-fucosylated monogalactosylated structures without bisecting GlcNAc (GP41)	N-glycan measurement	glycome;immune_inflammation;tissue_identity		ST6GAL1	3e-127
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	6e-73
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	7e-73
ST6GAL1	mapped_gene	yes	yes	no	yes	GCST90129336	35332118	Landini A	2022-03-24	Immunoglobulin N-glycan 16 levels	serum IgG glycosylation measurement	glycome;immune_inflammation		ST6GAL1	2e-69
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	9e-63
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	1e-62
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	8.000000000000001e-60
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	3e-59
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	4e-59
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	1e-51
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	1e-51
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	9e-48
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	1e-46
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	5.0000000000000004e-45
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	5.0000000000000004e-45
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	8e-44
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	2.0000000000000002e-39
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	2.0000000000000002e-39
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	2.0000000000000002e-39
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	8.000000000000001e-34
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	9e-30
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	2.0000000000000002e-24
ST6GAL1	mapped_gene	yes	yes	no	yes	GCST90271824	36907892	Rudman N	2023-03-13	Immunoglobulin G N-glycan peak 16 levels in type 1 diabetes	serum IgG glycosylation measurement	glycome;immune_inflammation;tissue_identity		ST6GAL1	2e-22
ST6GAL1	mapped_gene	yes	yes	no	yes	GCST90470753	39789286	Loya H	2025-01-09	ST6GAL1 protein levels	beta-galactoside alpha-2,6-sialyltransferase 1 measurement	metabolism		ST6GAL1	1e-21
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	2e-19
ST6GAL1	mapped_gene	yes	yes	no	yes	GCST90129344	35332118	Landini A	2022-03-24	Immunoglobulin N-glycan 24 levels	serum IgG glycosylation measurement	glycome;immune_inflammation		ST6GAL1	2e-18
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	9e-17
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	8e-16
ST6GAL1	mapped_gene	yes	yes	no	yes	GCST90129342	35332118	Landini A	2022-03-24	Immunoglobulin N-glycan 22 levels	serum IgG glycosylation measurement	glycome;immune_inflammation		ST6GAL1	3e-12
ST6GAL1	mapped_gene	yes	yes	no	yes	GCST90468890	39789286	Loya H	2025-01-09	CSPG4 protein levels	chondroitin sulfate proteoglycan 4 measurement	glycome;metabolism		ST6GAL1	4e-12
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	8e-11
